,mae,rmse,mape,directional_accuracy
Naive (last value),2.7813603112456997,3.4305222105377817,4.270649907470489,0.3148148148148148
"ARIMA(0, 1, 0)",2.7813603112456997,3.4305222105377817,4.270649907470489,0.3148148148148148
Prophet,0.8784901287925598,1.080671086109787,1.397932252390231,0.32407407407407407
