,var_mae,var_mse,aic,bic
"GARCH(1,1)",1.9152207527428378,22.169745329158545,3411.187558992483,3431.1669589358153
GJR-GARCH,1.8945456784957129,22.012402400550148,3389.9616022334794,3414.9358521626446
EGARCH,1.8963712765568084,21.984192443762147,3395.6320748888797,3420.6063248180453
